FID,F1,经度,纬度,WGS84经度,WGS84纬度,
484,黔东南苗族侗族自治州从江县下江镇高仟村,108.702731000000000,25.761652000000002,108.692213000000000,25.758637000000000,苗族|侗族
485,黔东南苗族侗族自治州丹寨县扬武乡排莫村,107.881563000000000,26.192228000000000,107.871106999999990,26.189411000000000,苗族|侗族
486,黔东南苗族侗族自治州剑河县南哨乡翁座村,108.729010000000000,26.508669999999999,108.718453000000000,26.505825999999999,苗族|侗族
487,黔东南苗族侗族自治州锦屏县隆里乡隆里所村,109.113679000000000,26.419439000000001,109.102597000000000,26.416634999999999,苗族|侗族
488,黔东南苗族侗族自治州锦屏县河口乡文斗村,109.000489000000000,26.609057000000000,108.989692000000010,26.606622999999999,苗族|侗族
489,黔东南苗族侗族自治州雷山县郎德镇上郎德村,108.076826000000000,26.479077000000000,108.065923000000000,26.476651000000000,苗族|侗族
490,黔东南苗族侗族自治州雷山县郎德镇下郎德村,108.076826000000000,26.479077000000000,108.065923000000000,26.476651000000000,苗族|侗族
491,黔东南苗族侗族自治州雷山县郎德镇南猛村,108.033597000000000,26.440443999999999,108.022831000000000,26.437760000000001,苗族|侗族
492,黔东南苗族侗族自治州雷山县西江镇控拜村,108.220111000000000,26.543395000000000,108.209458000000000,26.540780999999999,苗族|侗族
493,黔东南苗族侗族自治州黎平县坝寨乡坝寨村,108.963081000000000,26.205427000000000,108.952502999999990,26.202548000000000,苗族|侗族
494,黔东南苗族侗族自治州黎平县坝寨乡蝉寨村,108.935439000000000,26.219802999999999,108.924860000000000,26.217324999999999,苗族|侗族
495,黔东南苗族侗族自治州黎平县坝寨乡高场村,108.978716000000010,26.280146999999999,108.968089000000010,26.277335999999998,苗族|侗族
496,黔东南苗族侗族自治州黎平县坝寨乡高兴村,108.909564000000000,26.270484000000000,108.898962000000000,26.268360000000001,苗族|侗族
497,黔东南苗族侗族自治州黎平县坝寨乡青寨村,108.945268000000000,26.197250000000000,108.934695000000000,26.194578000000000,苗族|侗族
498,黔东南苗族侗族自治州黎平县大稼乡邓蒙村,108.870097000000000,26.346958999999998,108.859571000000000,26.344411000000001,苗族|侗族
499,黔东南苗族侗族自治州黎平县德顺乡平甫村,109.334342000000010,26.125405000000001,109.323346000000000,26.122287000000000,苗族|侗族
500,黔东南苗族侗族自治州黎平县地坪乡岑扣村,109.228945999999990,25.757149999999999,109.218067000000000,25.754041000000001,苗族|侗族
501,黔东南苗族侗族自治州黎平县地坪乡高青村,109.295016000000000,25.806849000000000,109.284038000000000,25.803906000000001,苗族|侗族
502,黔东南苗族侗族自治州黎平县地坪乡滚大村,109.293015999999990,25.754118999999999,109.282045999999990,25.751182000000000,苗族|侗族
503,黔东南苗族侗族自治州黎平县洪州镇归欧村,109.409208000000010,25.992452000000000,109.397975000000000,25.989571999999999,苗族|侗族
504,黔东南苗族侗族自治州黎平县洪州镇九江村,109.414016000000000,26.030826999999999,109.402806000000000,26.027896999999999,苗族|侗族
505,黔东南苗族侗族自治州黎平县洪州镇平架村,109.430079000000010,26.066647000000000,109.418901000000010,26.063486000000001,苗族|侗族
506,黔东南苗族侗族自治州黎平县洪州镇三团村,109.469363000000000,26.021094000000002,109.458265000000000,26.018073999999999,苗族|侗族
507,黔东南苗族侗族自治州黎平县九潮镇高寅村,108.682794000000000,26.155069000000001,108.672220999999990,26.152671000000002,苗族|侗族
508,黔东南苗族侗族自治州黎平县九潮镇贡寨村,108.746280000000000,26.226071000000001,108.735665000000000,26.223248000000002,苗族|侗族
509,黔东南苗族侗族自治州黎平县九潮镇吝洞村,108.669110000000000,26.126342999999999,108.658553000000000,26.124061999999999,苗族|侗族
510,黔东南苗族侗族自治州黎平县雷洞瑶族水族乡金城村,109.393551000000000,25.931716999999999,109.382278000000000,25.928981000000000,苗族|侗族|瑶族|水族
511,黔东南苗族侗族自治州黎平县茅贡乡蚕洞村,108.952651000000000,26.148354000000001,108.942121000000000,26.145546000000000,苗族|侗族
512,黔东南苗族侗族自治州黎平县茅贡乡冲寨,108.945007000000000,26.136218000000000,108.934476000000000,26.133520999999998,苗族|侗族
