FID,F1,经度,纬度,WGS84经度,WGS84纬度,民族
379,贵州省毕节市赫章县雉街彝族苗族乡发达村,104.761104000000000,26.863078000000002,104.752123000000000,26.860291000000000,苗族|彝族
380,贵州省毕节市百里杜鹃管理区黄泥乡槽门村,105.931775000000000,27.209883999999999,105.921902000000000,27.207550000000001,满族|苗族
381,贵州省毕节市百里杜鹃管理区戛木管理区大堰村,105.931775000000000,27.209883999999999,105.921902000000000,27.207550000000001,
382,贵州省铜仁市碧江区云场坪镇路腊村,109.351780000000010,27.746493999999998,109.340548000000000,27.743614999999998,土家族
383,贵州省铜仁市万山区高楼坪侗族乡夜郎村,109.177089000000000,27.460985999999998,109.166021000000000,27.458210999999999,侗族
384,贵州省铜仁市万山区万山镇土坪社区,109.224116000000000,27.531786000000000,109.213117999999990,27.528887999999998,
385,贵州省铜仁市江口县德旺乡坝梅村,108.597993000000000,27.856207000000001,108.587560999999990,27.853452999999998,苗族|土家族
386,贵州省铜仁市江口县官和乡泗渡村,108.617981000000000,27.548507000000001,108.607564000000000,27.545750000000002,汉族|苗族|土家族
387,贵州省铜仁市石阡县聚凤乡廖家屯村,108.003936000000000,27.387616000000001,107.993270999999990,27.384647000000001,汉族|侗族|仡佬族
388,贵州省铜仁市思南县长坝镇龙门村,107.965800000000000,27.721205000000001,107.955119000000000,27.718838999999999,
389,贵州省铜仁市玉屏侗族自治县新店镇老寨村,108.887956000000000,27.210781000000001,108.877337000000000,27.208521999999999,侗族
390,贵州省铜仁市玉屏侗族自治县朱家场镇谢桥村,108.920801000000000,27.293831999999998,108.910121000000000,27.291606000000002,侗族
391,贵州省铜仁市印江土家族苗族自治县缠溪镇方家岭村,108.482710999999990,27.824945000000000,108.472048000000000,27.821915000000001,苗族|土家族
392,贵州省铜仁市沿河土家族自治县后坪乡下坝村葫芦湾,108.134594000000010,28.993223000000000,108.123692000000010,28.989823999999999,土家族
393,贵州省铜仁市松桃苗族自治县牛郎镇岑朵村,109.103897000000000,27.883324999999999,109.092758000000000,27.880291000000000,苗族
394,贵州省黔西南布依族苗族自治州兴仁市城北街道办丰岩村,105.163121000000000,25.488540000000000,105.153470000000000,25.485471000000000,苗族|布依族
395,贵州省黔西南布依族苗族自治州兴仁市大山镇野场村,105.410207000000000,25.601987000000001,105.400209000000000,25.598994000000001,苗族|布依族
396,贵州省黔西南布依族苗族自治州贞丰县白层镇坝桥村,105.742945000000010,25.448063000000001,105.733076999999990,25.444792000000000,苗族|布依族
397,贵州省黔西南布依族苗族自治州贞丰县珉谷街道坡旗村,105.630792000000000,25.391582000000000,105.621142000000010,25.388583000000001,苗族|布依族
398,贵州省黔西南布依族苗族自治州贞丰县平街乡花江村,105.601698000000000,25.699967999999998,105.592097999999990,25.696877000000001,苗族|布依族
399,贵州省黔西南布依族苗族自治州贞丰县永丰街道纳马村,105.661114000000000,25.411121000000001,105.651315999999990,25.408481999999999,苗族|布依族
400,贵州省黔西南布依族苗族自治州贞丰县者相镇董箐村,105.756856000000000,25.540140999999998,105.746944000000000,25.537112000000000,苗族|布依族
401,贵州省黔西南布依族苗族自治州望谟县新屯街道办新屯村,106.110765000000000,25.245688000000001,106.100568999999990,25.242310000000000,苗族|布依族
402,贵州省黔西南布依族苗族自治州望谟县油迈瑶族乡油迈村,106.006227999999990,25.059581000000001,105.996241000000000,25.056657999999999,苗族|布依族|瑶族
403,贵州省黔西南布依族苗族自治州册亨县秧坝镇福尧村,105.785906999999990,24.907934000000001,105.775943000000000,24.905206000000000,苗族|布依族
404,贵州省黔西南布依族苗族自治州安龙县笃山镇梨树村,105.514886000000000,25.264126999999998,105.505128000000000,25.261036000000001,苗族|布依族
405,贵州省黔东南苗族侗族自治州凯里市舟溪镇曼洞村青曼苗寨,107.886477000000000,26.456704999999999,107.876026000000000,26.454010000000000,苗族|侗族
406,贵州省黔东南苗族侗族自治州凯里市旁海镇屯寨村屯寨苗寨,108.078025000000000,26.681756000000000,108.067079000000010,26.679338000000001,苗族|侗族
407,贵州省黔东南苗族侗族自治州黄平县谷陇镇滚水村滚水寨,108.109156000000000,26.813331999999999,108.098316999999990,26.810424999999999,苗族|侗族
408,贵州省黔东南苗族侗族自治州黄平县重安镇下翁细村下翁细寨,107.978521000000000,26.826684000000000,107.967910000000000,26.824211999999999,苗族|侗族
409,贵州省黔东南苗族侗族自治州三穗县款场乡龙脚村,109.035507999999990,26.988053000000001,109.024494000000000,26.985697999999999,苗族|侗族
410,贵州省黔东南苗族侗族自治州三穗县良上镇雅中村,108.751895000000000,26.874639999999999,108.741226999999990,26.872028000000000,苗族|侗族
411,贵州省黔东南苗族侗族自治州镇远县尚寨土家族乡丰收村苗屯大寨,108.314331999999990,27.298421999999999,108.303532000000000,27.296023000000002,苗族|侗族|土家族
412,贵州省黔东南苗族侗族自治州岑巩县注溪镇周坪村,108.721104000000000,27.242374000000002,108.710504000000000,27.239453999999999,苗族|侗族
413,贵州省黔东南苗族侗族自治州天柱县竹林镇龙塘村,109.398247000000000,26.742217000000000,109.386948000000000,26.739780000000000,苗族|侗族
